Week Ending,Year,Status,Total Volume,California,Chile,Mexico,Peru,Colombia,Dominican Republic
"Jan 8, 2023",2023,Actual,22987752,0,46079,22787451,0,95254,58966
"Jan 15, 2023",2023,Actual,26089497,0,92159,25914105,0,65087,18143
"Jan 22, 2023",2023,Actual,32235864,33497,23039,31797488,0,282047,99790
"Jan 29, 2023",2023,Actual,31164616,92047,45359,30623675,0,303743,99790
"Feb 5, 2023",2023,Actual,28010217,73946,45359,27549896,0,282047,58966
"Feb 12, 2023",2023,Actual,19828134,224072,0,19430493,0,173567,0
"Feb 19, 2023",2023,Actual,24940098,349743,0,24194909,0,282047,113398
"Feb 26, 2023",2023,Actual,25083746,239641,0,24609001,0,216959,18143
"Mar 5, 2023",2023,Actual,29098645,138632,0,28711902,0,130175,117933
"Mar 12, 2023",2023,Actual,30045799,646300,0,29247626,0,151871,0
"Mar 19, 2023",2023,Actual,32123907,460761,0,31519962,0,43391,99790
"Mar 26, 2023",2023,Actual,25225294,391846,0,24662448,0,130175,40823
"Apr 2, 2023",2023,Actual,28646070,1096473,0,27280174,43007,108479,117933
"Apr 9, 2023",2023,Actual,19111143,2208001,0,16708453,64511,130175,0
"Apr 16, 2023",2023,Actual,29802493,3189728,0,26399750,82838,130175,0
"Apr 23, 2023",2023,Actual,35118308,4311604,0,30553593,129055,65087,58966
"Apr 30, 2023",2023,Actual,33471214,5639373,0,27575967,107552,130175,18143
"May 7, 2023",2023,Actual,24539838,4490759,0,19649351,340759,0,58966
"May 14, 2023",2023,Actual,26801750,5357092,0,20849415,471187,65087,58966
"May 21, 2023",2023,Actual,26012626,4795576,0,20572826,622526,21695,0
"May 28, 2023",2023,Actual,27755639,5362151,0,21366941,856530,151871,18143
"Jun 4, 2023",2023,Actual,26968830,4327939,0,20376788,1567863,650878,45359
"Jun 11, 2023",2023,Actual,26834967,4959829,0,18944634,2326568,585790,18143
"Jun 18, 2023",2023,Actual,22672818,5569416,0,13680922,3010255,412223,0
"Jun 25, 2023",2023,Actual,21419181,6459038,0,11576563,2906268,477311,0
"Jul 2, 2023",2023,Actual,27543105,6926201,0,16137016,3925464,477311,77110
"Jul 9, 2023",2023,Actual,23117180,5303420,0,12829577,4420087,564094,0
"Jul 16, 2023",2023,Actual,25221348,7048766,0,13036739,4689900,368831,77110
"Jul 23, 2023",2023,Actual,23168888,5094000,0,12399350,5266102,173567,235867
"Jul 30, 2023",2023,Actual,22155735,4465854,0,11100882,6111686,477311,0
"Aug 6, 2023",2023,Actual,26089158,3875716,0,14653055,6649156,455615,455615
"Aug 13, 2023",2023,Actual,25771175,455615,0,18280408,6604784,412223,18143
"Aug 20, 2023",2023,Actual,24514726,2510805,0,16304227,5421197,260351,18143
"Aug 27, 2023",2023,Actual,21213366,1521010,0,13999987,5268123,347135,77110
"Sep 3, 2023",2023,Actual,22737046,1186285,43007,16293898,4823327,390527,0
"Sep 10, 2023",2023,Actual,21885375,824045,0,16922319,3830567,231331,77110
"Sep 17, 2023",2023,Actual,24123276,453613,0,20166781,3081041,421840,0
"Sep 24, 2023",2023,Actual,27611281,86956,299370,25300274,1802208,122469,0
"Oct 1, 2023",2023,Actual,26653439,1678,453761,25210540,783342,86182,117933
"Oct 8, 2023",2023,Projection,24640517,626099,0,23650235,277398,86783,0
"Oct 15, 2023",2023,Projection,23903042,227440,0,23459988,150526,65087,0
"Oct 22, 2023",2023,Projection,25814164,109615,0,25552676,0,151871,0
"Oct 29, 2023",2023,Projection,25549367,92115,0,25305379,0,151871,0
"Nov 5, 2023",2023,Projection,25101973,104570,0,24802138,0,195263,0
"Nov 12, 2023",2023,Projection,26069007,0,0,25852047,0,216959,0
"Nov 19, 2023",2023,Projection,24297159,0,0,23993415,0,303743,0
"Nov 26, 2023",2023,Projection,22795490,0,0,22448354,0,347135,0
"Dec 3, 2023",2023,Projection,22846360,0,0,22520920,0,325439,0
"Dec 10, 2023",2023,Projection,24225788,0,0,23813564,0,412223,0
"Dec 17, 2023",2023,Projection,26291110,0,0,25792103,0,499007,0
"Dec 24, 2023",2023,Projection,24354783,0,0,23920864,0,433919,0
"Dec 31, 2023",2023,Projection,22196220,0,0,21762300,0,433919,0
